expression,folder,side,A_distance,C_distance,B_distance,complete
+10,Female_+10,left,8.0,30.0,62.0,True
+10,Female_+10,right,6.0,55.0,58.0,True
+20,Female_+20,left,6.0,12.0,14.0,True
+20,Female_+20,right,5.0,14.0,21.0,True
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,left,11.0,36.0,37.0,True
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,right,8.0,39.0,39.0,True
+30,Female_+30,left,8.0,61.0,69.0,True
+30,Female_+30,right,7.0,49.0,72.0,True
+40,Female_+40,left,8.0,69.0,69.0,True
+40,Female_+40,right,5.0,75.0,75.0,True
+50,Female_+50,left,7.0,26.0,26.0,True
+50,Female_+50,right,5.0,22.0,22.0,True
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,left,8.0,68.0,68.0,True
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,right,6.0,69.0,69.0,True
-10,Female_-10,left,8.0,20.0,20.0,True
-10,Female_-10,right,7.0,20.0,20.0,True
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,left,7.0,22.0,22.0,True
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,right,7.0,25.0,25.0,True
-20,Female_-20,left,8.0,13.0,14.0,True
-20,Female_-20,right,5.0,13.0,13.0,True
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,left,8.0,34.0,35.0,True
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,right,8.0,35.0,36.0,True
-30,Female_-30,left,7.0,56.0,59.0,True
-30,Female_-30,right,6.0,58.0,59.0,True
-40,Female_-40,left,10.0,74.0,74.0,True
-40,Female_-40,right,12.0,71.0,71.0,True
-50,Female_-50,left,8.0,18.0,18.0,True
-50,Female_-50,right,5.0,16.0,16.0,True
-60,Female_-60,left,5.0,24.0,24.0,True
-60,Female_-60,right,5.0,24.0,24.0,True
0,Female_0,left,9.0,30.0,30.0,True
0,Female_0,right,5.0,31.0,31.0,True
Angry,Female_Angry 01,left,7.0,18.0,30.0,True
Angry,Female_Angry 01,right,10.0,12.0,45.0,True
Angry,Female_Angry 02,left,11.0,6.0,69.0,True
Angry,Female_Angry 02,right,13.0,28.0,29.0,True
Angry,Female_Angry 03,left,9.0,20.0,21.0,True
Angry,Female_Angry 03,right,10.0,22.0,22.0,True
Angry,Female_Angry 04,left,8.0,13.0,14.0,True
Angry,Female_Angry 04,right,7.0,14.0,19.0,True
Angry,Female_Angry 05,left,13.0,29.0,30.0,True
Angry,Female_Angry 05,right,12.0,21.0,22.0,True
Anguish,Female_Anguish,left,7.0,11.0,12.0,True
Anguish,Female_Anguish,right,7.0,12.0,28.0,True
Animosity Growl,Female_Animosity Growl,left,6.0,61.0,63.0,True
Animosity Growl,Female_Animosity Growl,right,4.0,64.0,64.0,True
Animosity Rebellious,Female_Animosity Rebellious,left,7.0,25.0,29.0,True
Animosity Rebellious,Female_Animosity Rebellious,right,6.0,29.0,29.0,True
Bored,Female_Bored 01,left,7.0,12.0,13.0,True
Bored,Female_Bored 01,right,6.0,25.0,29.0,True
Bored,Female_Bored 02,left,8.0,13.0,13.0,True
Bored,Female_Bored 02,right,8.0,14.0,31.0,True
Bored,Female_Bored 03,left,8.0,6.0,9.0,True
Bored,Female_Bored 03,right,11.0,8.0,10.0,True
Bored,Female_Bored 04,left,10.0,20.0,21.0,True
Bored,Female_Bored 04,right,12.0,23.0,31.0,True
Bored,Female_Bored 05,left,9.0,9.0,13.0,True
Bored,Female_Bored 05,right,11.0,11.0,13.0,True
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,left,9.0,58.0,64.0,True
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,right,5.0,64.0,86.0,True
Chewing,Female_Chewing,left,8.0,14.0,16.0,True
Chewing,Female_Chewing,right,9.0,26.0,26.0,True
Choking,Female_Choking,left,10.0,16.0,23.0,True
Choking,Female_Choking,right,10.0,17.0,17.0,True
Coughing,Female_Coughing,left,11.0,65.0,65.0,True
Coughing,Female_Coughing,right,10.0,65.0,65.0,True
Crazed,Female_Crazed,left,9.0,31.0,31.0,True
Crazed,Female_Crazed,right,8.0,59.0,59.0,True
Crying,Female_Crying,left,7.0,9.0,12.0,True
Crying,Female_Crying,right,7.0,6.0,15.0,True
Cute,Female_Cute 01,left,9.0,15.0,17.0,True
Cute,Female_Cute 01,right,11.0,30.0,30.0,True
Cute,Female_Cute 02,left,7.0,1.0,17.0,True
Cute,Female_Cute 02,right,11.0,1.0,23.0,True
Cute,Female_Cute 03,left,8.0,15.0,17.0,True
Cute,Female_Cute 03,right,11.0,20.0,21.0,True
Cute,Female_Cute 04,left,7.0,16.0,19.0,True
Cute,Female_Cute 04,right,11.0,14.0,19.0,True
Cute,Female_Cute 05,left,10.0,11.0,12.0,True
Cute,Female_Cute 05,right,11.0,11.0,12.0,True
Despise,Female_Despise 01,left,9.0,19.0,20.0,True
Despise,Female_Despise 01,right,12.0,8.0,13.0,True
Despise,Female_Despise 02,left,9.0,28.0,29.0,True
Despise,Female_Despise 02,right,10.0,25.0,27.0,True
Despise,Female_Despise 03,left,9.0,20.0,22.0,True
Despise,Female_Despise 03,right,11.0,21.0,23.0,True
Despise,Female_Despise 04,left,9.0,10.0,13.0,True
Despise,Female_Despise 04,right,10.0,17.0,18.0,True
Despise,Female_Despise 05,left,10.0,21.0,23.0,True
Despise,Female_Despise 05,right,12.0,8.0,12.0,True
Determined,Female_Determined,left,8.0,19.0,19.0,True
Determined,Female_Determined,right,7.0,19.0,21.0,True
Distrust,Female_Distrust 01,left,9.0,5.0,11.0,True
Distrust,Female_Distrust 01,right,11.0,11.0,13.0,True
Distrust,Female_Distrust 02,left,8.0,7.0,9.0,True
Distrust,Female_Distrust 02,right,11.0,4.0,6.0,True
Distrust,Female_Distrust 03,left,9.0,18.0,19.0,True
Distrust,Female_Distrust 03,right,11.0,30.0,31.0,True
Distrust,Female_Distrust 04,left,8.0,15.0,19.0,True
Distrust,Female_Distrust 04,right,11.0,13.0,13.0,True
Distrust,Female_Distrust 05,left,7.0,8.0,9.0,True
Distrust,Female_Distrust 05,right,11.0,18.0,19.0,True
Empathy,Female_Empathy 01,left,7.0,3.0,9.0,True
