expression,folder,side,A_boundary,C_boundary,B_boundary,ordering,missing,complete_215
+10,Female_+10,left,214.0,214.0,214.0,tie,,True
+10,Female_+10,right,0.0,0.0,0.0,tie,,True
+20,Female_+20,left,214.0,214.0,214.0,tie,,True
+20,Female_+20,right,0.0,0.0,0.0,tie,,True
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,left,214.0,214.0,214.0,tie,,True
+20_ZMouth Open Horizontal And Vertical,Female_+20_ZMouth Open Horizontal And Vertical,right,0.0,0.0,0.0,tie,,True
+30,Female_+30,left,214.0,214.0,214.0,tie,,True
+30,Female_+30,right,0.0,0.0,0.0,tie,,True
+40,Female_+40,left,214.0,214.0,214.0,tie,,True
+40,Female_+40,right,0.0,0.0,0.0,tie,,True
+50,Female_+50,left,214.0,214.0,214.0,tie,,True
+50,Female_+50,right,0.0,0.0,0.0,tie,,True
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,left,214.0,214.0,214.0,tie,,True
+50_ZMouth Open Horizontal And Vertical,Female_+50_ZMouth Open Horizontal And Vertical,right,0.0,0.0,0.0,tie,,True
-10,Female_-10,left,214.0,214.0,214.0,tie,,True
-10,Female_-10,right,0.0,0.0,0.0,tie,,True
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,left,214.0,214.0,214.0,tie,,True
-10_ZMouth Open Horizontal And Vertical,Female_-10_ZMouth Open Horizontal And Vertical,right,0.0,0.0,0.0,tie,,True
-20,Female_-20,left,214.0,214.0,214.0,tie,,True
-20,Female_-20,right,0.0,0.0,0.0,tie,,True
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,left,214.0,214.0,214.0,tie,,True
-20_ZMouth Open Horizontal And Vertical,Female_-20_ZMouth Open Horizontal And Vertical,right,0.0,0.0,0.0,tie,,True
-30,Female_-30,left,214.0,214.0,214.0,tie,,True
-30,Female_-30,right,0.0,0.0,0.0,tie,,True
-40,Female_-40,left,214.0,214.0,214.0,tie,,True
-40,Female_-40,right,0.0,0.0,0.0,tie,,True
-50,Female_-50,left,214.0,214.0,214.0,tie,,True
-50,Female_-50,right,0.0,0.0,0.0,tie,,True
-60,Female_-60,left,214.0,174.0,174.0,tie,,True
-60,Female_-60,right,0.0,31.0,31.0,tie,,True
0,Female_0,left,214.0,214.0,214.0,tie,,True
0,Female_0,right,0.0,0.0,0.0,tie,,True
Angry,Female_Angry 01,left,214.0,214.0,214.0,tie,,True
Angry,Female_Angry 01,right,0.0,0.0,0.0,tie,,True
Angry,Female_Angry 02,left,214.0,214.0,214.0,tie,,True
Angry,Female_Angry 02,right,0.0,0.0,0.0,tie,,True
Angry,Female_Angry 03,left,214.0,214.0,214.0,tie,,True
Angry,Female_Angry 03,right,0.0,0.0,0.0,tie,,True
Angry,Female_Angry 04,left,214.0,214.0,214.0,tie,,True
Angry,Female_Angry 04,right,0.0,0.0,0.0,tie,,True
Angry,Female_Angry 05,left,214.0,214.0,214.0,tie,,True
Angry,Female_Angry 05,right,0.0,0.0,0.0,tie,,True
Anguish,Female_Anguish,left,214.0,214.0,214.0,tie,,True
Anguish,Female_Anguish,right,0.0,0.0,0.0,tie,,True
Animosity Growl,Female_Animosity Growl,left,214.0,214.0,214.0,tie,,True
Animosity Growl,Female_Animosity Growl,right,0.0,0.0,0.0,tie,,True
Animosity Rebellious,Female_Animosity Rebellious,left,214.0,214.0,214.0,tie,,True
Animosity Rebellious,Female_Animosity Rebellious,right,0.0,0.0,0.0,tie,,True
Bored,Female_Bored 01,left,214.0,214.0,214.0,tie,,True
Bored,Female_Bored 01,right,0.0,0.0,0.0,tie,,True
Bored,Female_Bored 02,left,214.0,214.0,214.0,tie,,True
Bored,Female_Bored 02,right,0.0,0.0,0.0,tie,,True
Bored,Female_Bored 03,left,214.0,214.0,214.0,tie,,True
Bored,Female_Bored 03,right,0.0,0.0,0.0,tie,,True
Bored,Female_Bored 04,left,214.0,214.0,214.0,tie,,True
Bored,Female_Bored 04,right,0.0,0.0,0.0,tie,,True
Bored,Female_Bored 05,left,214.0,214.0,214.0,tie,,True
Bored,Female_Bored 05,right,0.0,0.0,0.0,tie,,True
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,left,214.0,214.0,214.0,tie,,True
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,right,0.0,0.0,0.0,tie,,True
Chewing,Female_Chewing,left,214.0,214.0,214.0,tie,,True
Chewing,Female_Chewing,right,0.0,0.0,0.0,tie,,True
Choking,Female_Choking,left,214.0,214.0,214.0,tie,,True
Choking,Female_Choking,right,0.0,0.0,0.0,tie,,True
Coughing,Female_Coughing,left,214.0,214.0,214.0,tie,,True
Coughing,Female_Coughing,right,0.0,0.0,0.0,tie,,True
Crazed,Female_Crazed,left,214.0,214.0,214.0,tie,,True
Crazed,Female_Crazed,right,0.0,0.0,0.0,tie,,True
Crying,Female_Crying,left,214.0,214.0,214.0,tie,,True
Crying,Female_Crying,right,0.0,0.0,0.0,tie,,True
Cute,Female_Cute 01,left,214.0,214.0,214.0,tie,,True
Cute,Female_Cute 01,right,0.0,0.0,0.0,tie,,True
Cute,Female_Cute 02,left,214.0,214.0,214.0,tie,,True
Cute,Female_Cute 02,right,0.0,0.0,0.0,tie,,True
Cute,Female_Cute 03,left,214.0,214.0,214.0,tie,,True
Cute,Female_Cute 03,right,0.0,0.0,0.0,tie,,True
Cute,Female_Cute 04,left,214.0,214.0,214.0,tie,,True
Cute,Female_Cute 04,right,0.0,0.0,0.0,tie,,True
Cute,Female_Cute 05,left,214.0,214.0,214.0,tie,,True
Cute,Female_Cute 05,right,0.0,0.0,0.0,tie,,True
Despise,Female_Despise 01,left,214.0,214.0,214.0,tie,,True
